carPosX,carPosY,carPosZ,x1Point,y1Point,z1Point,x2Point,y2Point,z2Point,angle,speed
-83.80192565917969,0.0,-5.283031463623047,-84.09544223252541,0.0,-10.274408830760436,-83.50840908583396,0.0,-0.2916540964856571,-93.36538696289062,-0.75
-149.21217346191406,0.0,-61.220211029052734,-147.54794494957596,0.0,-56.50530451261777,-150.87640197425216,0.0,-65.9351175454877,-289.44158935546875,-1.0
-160.9253387451172,0.0,-65.73414611816406,-159.62204177047485,0.0,-60.90699198804887,-162.22863571975952,0.0,-70.56130024827925,-285.10919189453125,0.5
-194.35086059570312,0.0,-116.18524932861328,-193.55254987785992,0.0,-121.12110791631378,-195.14917131354633,0.0,-111.24939074091279,-80.81271362304688,-0.375
